#Time	Lat	Lon	Alt	Sat
10:45:50	49.2723145	15.195516	30170.1	8
10:46:06	49.272705	15.19742233	30330.9	7
10:46:23	49.27336433	15.19998367	30525.3	7
10:46:39	49.27351067	15.20158683	30694.4	7
10:46:55	49.2737955	15.204008	30831.4	8
10:47:11	49.27389317	15.20602217	30962.9	7
10:47:27	49.27354333	15.20733233	31115.9	6
10:47:44	49.27371417	15.21001183	31272.8	7
10:48:00	49.2733235	15.21228633	31400.4	9
10:48:16	49.2733235	15.21228633	31400.4	9
10:48:32	49.2733235	15.21228633	31400.4	9
10:48:49	49.2733235	15.21228633	31400.4	9
10:49:05	49.2733235	15.21228633	31400.4	9
10:49:21	49.2733235	15.21228633	31400.4	9
10:49:37	49.2733235	15.21228633	31400.4	9
10:49:54	49.2733235	15.21228633	31400.4	9
10:50:10	49.27408033	15.221702	26353.5	7
10:50:26	49.27318517	15.22179567	25842.9	8
10:50:42	49.27245283	15.2229045	25356.8	8
10:50:58	49.27224117	15.22394	24876.9	9
10:51:14	49.27159017	15.22487183	24416.3	9
10:51:31	49.2714925	15.22554517	23944.6	8
10:51:47	49.271346	15.225356	23506.7	9
10:52:03	49.270581	15.22552283	23085.6	7
10:52:19	49.26958817	15.2260865	22676.2	9
10:52:36	49.268872	15.226239	22256.7	8
10:52:52	49.26770833	15.22622483	21862.0	8
10:53:08	49.26625983	15.22722167	21525.6	5
11:22:51	49.01132	15.88032833	2343.5	7
11:23:08	49.00818683	15.88465583	2245.1	6
11:23:24	49.005542	15.88887133	2137.8	7
11:23:40	49.00435383	15.89110517	2082.3	6
11:23:56	49.00219733	15.894517	1989.6	8
11:24:13	48.99930017	15.89959317	1828.5	8
11:24:29	48.99689933	15.90491533	1688.7	7
11:24:45	48.995581	15.90830483	1609.3	4
11:25:01	48.995581	15.90830483	1609.3	4
11:25:17	48.99392083	15.91781817	1545.8	4
11:25:34	48.99223633	15.925175	1324.9	6
11:25:50	48.99191083	15.92879033	1254.3	6
11:26:06	48.99149583	15.93336383	1178.8	7
11:26:22	48.99129233	15.93544917	1139.2	6
11:26:38	48.99078783	15.94152433	1006.1	6
11:26:55	48.9904215	15.94505417	892.1	8
11:27:11	48.990267	15.94798783	815.7	5
11:27:27	48.99020183	15.95281983	715.1	6
11:27:43	48.99016117	15.956366	625.3	6
11:28:00	48.98985183	15.95983683	525.2	8
11:28:16	48.98961583	15.96259767	425.0	8
