_sentence,_receivers,time,latitude,longitude,altitude,temperature_internal,battery
"$$LetFik3,10:20:51,49.6615076065,15.8914232254,23173,-1.341626,9.86796357422*8CEA",LetFik3,10:20:51,49.6615076065,15.8914232254,23173.0,-1.341626,9.86796357422
"$$LetFik3,10:23:21,49.6498990059,15.9910082817,23659,-0.484541,9.86338659668*C273",LetFik3,10:23:21,49.6498990059,15.9910082817,23659.0,-0.484541,9.86338659668
"$$LetFik3,10:25:51,49.6429038048,16.0926747322,24357,0.715378,9.72607727051*5824",LetFik3,10:25:51,49.6429038048,16.0926747322,24357.0,0.715378,9.72607727051
"$$LetFik3,10:28:21,49.6329045296,16.2057781219,25059,-1.341626,9.79930891113*24AF",LetFik3,10:28:21,49.6329045296,16.2057781219,25059.0,-1.341626,9.79930891113
"$$LetFik3,10:30:51,49.6274113655,16.3207483292,25643,0.02971,9.8771175293*4F29",LetFik3,10:30:51,49.6274113655,16.3207483292,25643.0,0.02971,9.8771175293
"$$LetFik3,10:33:21,49.6225190163,16.4468979836,26317,1.229629,9.89542543945*06BF",LetFik3,10:33:21,49.6225190163,16.4468979836,26317.0,1.229629,9.89542543945
"$$LetFik3,10:35:52,49.6189141273,16.5766310692,26914,1.229629,9.79930891113*CBF3",LetFik3,10:35:52,49.6189141273,16.5766310692,26914.0,1.229629,9.79930891113
"$$LetFik3,10:38:21,49.6150517464,16.7127156258,27687,-1.170209,9.83134775391*9AB9",LetFik3,10:38:21,49.6150517464,16.7127156258,27687.0,-1.170209,9.83134775391
"$$LetFik3,10:40:51,49.6146869659,16.8561816216,28275,1.74388,9.88627148437*559E",LetFik3,10:40:51,49.6146869659,16.8561816216,28275.0,1.74388,9.88627148437
"$$LetFik3,10:43:22,49.6080350876,17.0063638687,28990,-1.341626,9.86796357422*CA55",LetFik3,10:43:22,49.6080350876,17.0063638687,28990.0,-1.341626,9.86796357422
"$$LetFik3,10:45:51,49.6054172516,17.1655583382,29544,1.74388,9.79930891113*B5F0",LetFik3,10:45:51,49.6054172516,17.1655583382,29544.0,1.74388,9.79930891113
"$$LetFik3,10:48:21,49.6045160294,17.3332071304,30297,1.058212,9.81761682129*796D",LetFik3,10:48:21,49.6045160294,17.3332071304,30297.0,1.058212,9.81761682129
"$$LetFik3,10:50:52,49.6121549606,17.5013279915,30902,-0.827375,9.86796357422*0A5B",LetFik3,10:50:52,49.6121549606,17.5013279915,30902.0,-0.827375,9.86796357422
"$$LetFik3,10:53:21,49.6258878708,17.6762938499,31412,2.600965,9.91373334961*8F3C",LetFik3,10:53:21,49.6258878708,17.6762938499,31412.0,2.600965,9.91373334961
"$$LetFik3,10:55:51,49.6415090561,17.8538346291,31843,0.543961,9.7718470459*5DE0",LetFik3,10:55:51,49.6415090561,17.8538346291,31843.0,0.543961,9.7718470459
"$$LetFik3,10:58:21,49.6652841568,18.0337357521,32462,0.715378,9.88169450684*B128",LetFik3,10:58:21,49.6652841568,18.0337357521,32462.0,0.715378,9.88169450684
"$$LetFik3,11:00:51,49.6727085114,18.2284426689,32888,0.886795,9.89084846191*6F9D",LetFik3,11:00:51,49.6727085114,18.2284426689,32888.0,0.886795,9.89084846191
"$$LetFik3,11:03:21,49.6828150749,18.4265828133,33303,3.45805,9.94119521484*3D13",LetFik3,11:03:21,49.6828150749,18.4265828133,33303.0,3.45805,9.94119521484
"$$LetFik3,11:05:51,49.6954751015,18.6236715317,33676,3.115216,9.86796357422*AF54",LetFik3,11:05:51,49.6954751015,18.6236715317,33676.0,3.115216,9.86796357422
